年,平均气温,平均最高气温,平均最低气温,最高气温,最低气温,降水量,日照和,蒸发和(小型),蒸发和（大型）,平均地表气温,平均地表最高气温,平均地表最低气温,地表最高气温,地表最低气温,平均风速,最大风速,极大风速,平均相对湿度,最大风速对应风向,极大风速对应风向
2004,18.25655737704918,21.885245901639344,15.568852459016393,36.0,-3.2,1425.8,1949.0,0.0,947.2,19.880874316939888,31.741256830601092,14.160382513661201,62.2,-3.4,2.278688524590164,13.8,21.7,69.78415300546447,[15],[16.]
2005,17.804383561643835,21.122465753424656,15.40027397260274,37.5,-3.0,1145.1,1661.8,0.0,924.6,19.665205479452055,30.535616438356165,14.459178082191782,65.7,-4.1,2.2405479452054795,11.7,21.2,69.63013698630137,[15],[15.]
2006,18.414246575342464,21.921643835616436,15.81123287671233,36.9,-1.7,1038.9,1779.6,0.0,1029.4,19.99972602739726,31.281643835616435,14.604109589041096,60.4,-3.4,3.0405479452054793,16.4,26.2,72.79178082191781,[1],[2.]
2007,18.55780821917808,22.065205479452054,15.93095890410959,38.6,0.1,1014.4,1708.0,0.0,1020.1,20.025205479452055,31.25917808219178,14.62794520547945,57.1,-1.7,2.753972602739726,12.3,17.9,76.2,[13],[3. 9.]
2008,17.96256830601093,21.378415300546447,15.340437158469946,35.9,-3.7,1240.1,1927.6,0.0,966.1,19.566120218579236,30.587704918032788,14.137704918032785,59.1,-4.3,2.7002732240437157,14.9,23.7,73.99453551912568,[15],[15.]
2009,18.0013698630137,21.362465753424658,15.443561643835615,39.2,-2.2,1172.4,1856.0,0.0,1001.4,19.883287671232875,31.132328767123287,14.418630136986302,63.9,-3.6,2.6087671232876715,11.9,19.9,74.01095890410959,[10],[3.]
2010,17.78301369863014,21.226575342465754,15.255890410958903,36.5,-2.8,1721.7,1848.2,0.0,922.5,19.544109589041096,30.921917808219177,14.076164383561645,60.2,-1.9,2.7865753424657536,16.0,24.5,73.54520547945205,[1],[1.]
2011,17.53013698630137,21.104657534246574,14.864657534246577,38.8,-2.1,921.5999999999999,1840.1,0.0,1031.6,19.753424657534246,32.32246575342466,13.735890410958906,63.2,-3.5,2.677808219178082,11.8,17.4,70.34246575342466,[13],[9.]
2012,16.89262295081967,19.896448087431693,14.574043715846996,36.1,-2.9,1586.2,1535.7,0.0,818.0,18.637978142076502,28.410655737704918,13.759562841530055,57.2,-3.1,2.4103825136612023,13.1,16.8,74.5,[15],[15.]
2013,18.556438356164385,22.0213698630137,15.831232876712328,37.6,-4.2,1056.9,1981.2,0.0,1153.7,20.661643835616438,32.8372602739726,14.630410958904111,60.7,-4.3,2.7016438356164385,14.4,19.8,70.66027397260274,[14],[14.]
2014,17.921643835616436,21.086027397260274,15.545753424657534,36.1,-3.5,1403.4,1460.3,0.0,941.1,19.88109589041096,31.544109589041096,14.38958904109589,62.4,-3.8,2.5178082191780824,10.7,15.5,77.27945205479452,[15],[13.]
2015,18.06904109589041,21.332876712328765,15.691506849315067,35.6,-0.6,1725.3,1490.2,0.0,962.0,19.86328767123288,30.768493150684932,14.692876712328767,57.5,-1.6,2.618904109589041,15.6,21.5,79.87671232876713,[13],[13.]
2016,18.2275956284153,21.37814207650273,15.8172131147541,36.7,-3.6,1278.3,1475.0,0.0,973.9,19.809016393442622,30.172131147540984,14.78032786885246,62.2,-2.6,2.490983606557377,11.8,20.4,80.54371584699453,[16],[15.]
2017,18.346849315068493,21.508219178082193,15.896712328767125,37.3,0.9,1650.7,1613.8,0.0,1046.9,19.910958904109588,30.696164383561644,14.623287671232877,58.5,-3.5,2.511780821917808,12.0,18.3,78.54794520547945,[16],[16.]
2018,18.524931506849317,21.898082191780823,15.999726027397259,37.1,-3.9,1259.3,1724.5,0.0,1088.1,20.517260273972603,31.77780821917808,15.039178082191782,59.6,-4.2,2.3802739726027395,19.4,26.9,77.41643835616438,[14],[14.]
2019,18.237534246575343,21.521643835616437,15.679726027397262,36.9,-2.3,1265.3,1637.2,18.9,1043.2,20.24821917808219,31.57178082191781,14.641643835616438,59.2,-1.1,2.2975342465753426,14.4,21.7,78.9041095890411,[15],[3.]
